time_stamp,cpu_percent
17:17:00.612,0.3
17:17:01.615,0.2
17:17:02.616,0.2
17:17:03.616,0.2
17:17:04.617,0.2
17:17:05.618,0.2
17:17:06.618,0.4
17:17:07.619,0.2
17:17:08.620,0.2
17:17:09.621,0.3
17:17:10.622,0.2
17:17:11.622,0.4
17:17:12.623,0.3
17:17:13.624,0.2
17:17:14.625,0.3
17:17:15.626,0.3
17:17:16.627,1.1
17:17:17.628,0.2
17:17:18.629,0.2
17:17:19.629,0.2
17:17:20.630,0.3
17:17:21.631,0.3
17:17:22.632,0.2
17:17:23.633,0.2
17:17:24.634,0.2
17:17:25.635,0.2
17:17:26.636,0.3
17:17:27.636,0.2
17:17:28.637,0.2
17:17:29.638,0.4
17:17:30.639,3.1
17:17:31.640,2.3
17:17:32.641,6.6
17:17:33.642,5.3
17:17:34.643,5.0
17:17:35.643,4.3
17:17:36.644,5.2
17:17:37.645,5.9
17:17:38.646,16.4
17:17:39.647,18.6
17:17:40.647,4.7
17:17:41.648,4.4
17:17:42.648,4.7
17:17:43.649,5.0
17:17:44.650,4.7
17:17:45.651,4.3
17:17:46.651,4.5
17:17:47.652,4.7
17:17:48.653,1.5
17:17:49.653,0.3
17:17:50.654,0.2
17:17:51.655,0.3
17:17:52.656,0.2
17:17:53.656,0.3
17:17:54.657,0.2
17:17:55.658,0.2
17:17:56.659,0.2
17:17:57.660,0.2
17:17:58.661,0.2
17:17:59.662,1.2
17:18:00.662,0.2
17:18:01.663,0.2
17:18:02.664,0.2
17:18:03.665,0.2
17:18:04.666,0.2
17:18:05.667,0.2
17:18:06.668,0.3
17:18:07.669,0.2
17:18:08.669,0.2
17:18:09.670,0.3
17:18:10.671,0.2
17:18:11.672,0.2
17:18:12.673,0.3
17:18:13.674,0.3
17:18:14.674,0.2
17:18:15.675,0.3
17:18:16.676,1.0
17:18:17.677,0.2
